'ctx_lh_bankssts'
'ctx_lh_caudalanteriorcingulate'
'ctx_lh_caudalmiddlefrontal'
'ctx_lh_cuneus'
'ctx_lh_entorhinal'
'ctx_lh_fusiform'
'ctx_lh_inferiorparietal'
'ctx_lh_inferiortemporal'
'ctx_lh_isthmuscingulate'
'ctx_lh_lateraloccipital'
'ctx_lh_lateralorbitofrontal'
'ctx_lh_lingual'
'ctx_lh_medialorbitofrontal'
'ctx_lh_middletemporal'
'ctx_lh_parahippocampal'
'ctx_lh_paracentral'
'ctx_lh_parsopercularis'
'ctx_lh_parsorbitalis'
'ctx_lh_parstriangularis'
'ctx_lh_pericalcarine'
'ctx_lh_postcentral'
'ctx_lh_posteriorcingulate'
'ctx_lh_precentral'
'ctx_lh_precuneus'
'ctx_lh_rostralanteriorcingulate'
'ctx_lh_rostralmiddlefrontal'
'ctx_lh_superiorfrontal'
'ctx_lh_superiorparietal'
'ctx_lh_superiortemporal'
'ctx_lh_supramarginal'
'ctx_lh_frontalpole'
'ctx_lh_temporalpole'
'ctx_lh_transversetemporal'
'ctx_lh_insula'
